title=md_cg_analysis
fname,contrast,lipid,ratio,label
#
# EXAMPLE
# file_name,subphase_lipid,lipid1:lipid2,ratio1:ratio2,label_description
#
# --------------------------------------------------------------------------- #
# 9-13-1054: Interal LNP composition ILL Jun23
#
# SET 3. l5:chol (75:25) pH 3 polyA
#s03-1,d2o_hlipid_dpolya,lipid_5:chol,75:25,h-lipid D<sub>2</sub>O dPolyA
#s03-2,d2o_dlipid_dpolya,d19_lipid_5:d45_chol,75:25,d-lipid D<sub>2</sub>O dPolyA
#s03-3,acmw_dlipid_hpolya,d19_lipid_5:d45_chol,75:25,d-lipid ACMW hPolyA
#s03-4,acmw_hlipid_hpolya,lipid_5:chol,75:25,h-lipid ACMW hPolyA
#
# SET 4. l5:chol (75:25) pH 7.4 polyA
#s04-1,d2o_hlipid_dpolya,lipid_5:chol,75:25,h-lipid D<sub>2</sub>O dPolyA
#s04-2,d2o_dlipid_dpolya,d19_lipid_5:d45_chol,75:25,d-lipid D<sub>2</sub>O dPolyA
#s04-3,acmw_dlipid_hpolya,d19_lipid_5:d45_chol,75:25,d-lipid ACMW hPolyA
#s04-4,acmw_hlipid_hpolya,lipid_5:chol,75:25,h-lipid ACMW hPolyA
#s09-4,acmw_hlipid_hpolya,lipid_5:chol,75:25,h-lipid ACMW hPolyA
#
# SET 5. l5:chol (100:0) pH 3 polyA
#s05-1,d2o_hlipid_dpolya,lipid_5,100,h-lipid D<sub>2</sub>O dPolyA
#s05-2,d2o_dlipid_dpolya,d19_lipid_5,100,d-lipid D<sub>2</sub>O dPolyA
#s05-3,acmw_dlipid_hpolya,d19_lipid_5,100,d-lipid ACMW hPolyA
#s05-4,acmw_hlipid_hpolya,lipid_5,100,h-lipid ACMW hPolyA
#
# SET 6. l5:chol (56.5:43.5) pH 3 polyA
#s06-1,d2o_hlipid_dpolya,lipid_5:chol,56.5:43.5,h-lipid D<sub>2</sub>O dPolyA
#s06-2,d2o_dlipid_dpolya,d19_lipid_5:d45_chol,56.5:43.5,d-lipid D<sub>2</sub>O dPolyA
